Author,Comment,LikeCount,ReplyCount,neg,neu,pos,compound,Label
@tseries,"Arjan Vailly Ne, Paer Jod Ke Gandaasi Maari🔥🔥🔥🩸",29705,501,0.0,1.0,0.0,0.0,Neutral
@LiberalHindu,Now this is the kind of great Punjabi music we grew up listening to... Playing on loop...,28766,201,0.0,0.728,0.272,0.6815,Positive
@Sriram-ve4ge,"As a Tamil, I never thought a Telugu director would make me interested in Punjabi music again after 15 years. This song is fire🔥",979,13,0.0,0.881,0.119,0.4019,Positive
@KarlRock,So cool to see Ranbir rocking a Chadra!,375,7,0.0,0.675,0.325,0.4376,Positive
@melodiouspratik,"I m Bengali, But i Truely Love Punjabis and their all sacrifices for country. This song is Dope and vibes makes goosebumps",323,6,0.0,0.756,0.244,0.7783,Positive
@ncgaming8059,As Punjabi this is first time I feel respected by Bollywood 😊,1092,19,0.0,0.744,0.256,0.4767,Positive
@dr.wanderlust,"Hailing from Tamil Nadu, I was pleasantly surprised that a director from the Telugu industry could beautifully incorporate a Punjabi song into his Hindi film. It's a wonderful fusion of cultures and histories, showcasing the diversity of our incredible nation, India. This experience highlighted the powerful impact of cinema when wielded with wisdom.",95,1,0.0,0.698,0.302,0.9559,Positive
@KiddoToonsHindi,This song is pure magic. It's been on repeat all day 😍😍😍😍,5010,15,0.0,1.0,0.0,0.0,Neutral
@abhijeetudawant378,For so many years this gem of a Punjabi folk song was kept hidden from mainstream India now it's getting heard by the whole of India. Congratulations to Sandeep Reddy Vanga .,313,5,0.0,0.881,0.119,0.5994,Positive
@SweetLikeSugaGJ,"As a Sikh i feel happy Punjabi folk music is showed..
United  we stand against anything.",444,7,0.0,0.667,0.333,0.7579,Positive
@elnenedeldance,Soy de Argentina y estoy esforzándome para colaborar con estos grandes artistas 🇦🇷❤,7,0,0.0,1.0,0.0,0.0,Neutral
@elnenedeldance,Soy Argentino y estoy esforzándome para colaborar con estos grandes artistas 🇦🇷💌,21,1,0.0,1.0,0.0,0.0,Neutral
@elnenedeldance,Soy de Argentina y me estoy esforzando para colaborar con estos grandes artistas 🇦🇷💛,32,1,0.0,1.0,0.0,0.0,Neutral
@elnenedeldance,Soy de Argentina y estoy esforzándome para colaborar con estos grandes artistas 🇦🇷❤,38,3,0.0,1.0,0.0,0.0,Neutral
@kvsndkraja1,"This song will haunt for very long time. This kind of music deserves limelight, our own folk songs from our own culture. Irrespective of language, people from across the country showered their love for this song...",483,6,0.066,0.831,0.103,0.3612,Positive
@adityasinghjadoun6675,This song makes my blood boil and pumps my body full of adrenaline while im working out... The lyrics and beat is just so ferocious and primal!!!,2,0,0.095,0.905,0.0,-0.4102,Negative
@AKBMedia,Finally The Most Awaited Song Is Here 🔥🔥🔥🔥,5717,41,0.166,0.834,0.0,-0.101,Neutral
@BollywoodMashupIndia,*This song is specially made for people who can't sleep   overthinking   and can't forgot movements  at night .....Gives goosebumps 😍😍*,398,2,0.133,0.663,0.205,0.3384,Positive
