Author,Comment,LikeCount,ReplyCount,neg,neu,pos,compound,Label
@EMIWAYBANTAII,5:29 😂😂 bantai,593,0,0.0,1.0,0.0,0.0,Neutral
@EMIWAYBANTAII,"Emiwaybantai <a href=""https://www.youtube.com/watch?v=S_DRe0qbUJk&amp;t=319"">5:19</a>",2,0,0.0,1.0,0.0,0.0,Neutral
@BadMunda-wt8ri,Bantai ko lageli  bhook 🚨🚨 5:15,1374,22,0.0,1.0,0.0,0.0,Neutral
@Syed_Asif,1:02 bro didn't even hesitate,90,0,0.0,0.674,0.326,0.4404,Positive
@Syed_Asif,4:20 robot 2.0 bts vibes❤❤😂,8,0,0.0,0.674,0.326,0.4404,Positive
@Syed_Asif,3:02 surma looks good on you lol❤❤,8,0,0.0,0.674,0.326,0.4404,Positive
@aashita6204,5:47 bhai bhai bhai!!!!!,25,0,0.0,1.0,0.0,0.0,Neutral
@birtanay5408,Garam hai Garam hai 🔥🔥🔥🔥,625,2,0.0,1.0,0.0,0.0,Neutral
@Theminipod-qz5fs,"Bantai ko lageli bhuk
Carry(Bill gates version 😆",106,0,0.0,1.0,0.0,0.0,Neutral
@mahimaarrahahai7019,Bantai ko lageeli bhookh 😂❤,84,4,0.0,1.0,0.0,0.0,Neutral
@Shivam-uu5fp,8:32 best moment ❤❤,317,0,0.0,0.417,0.583,0.6369,Positive
@VenomFacts1,5:15 Deepak bhai :- burger khayega 😅,479,3,0.0,1.0,0.0,0.0,Neutral
@anowarhossainmondal7115,Bantai ko lageli bhook 😂,14,0,0.0,1.0,0.0,0.0,Neutral
@pranavkumar4365,BKP hijacked that Comment section☠️,356,9,0.0,1.0,0.0,0.0,Neutral
@hemrajsuthar5945,Bantai ko lageli bhookh 💀,275,4,0.0,1.0,0.0,0.0,Neutral
@ur.razzzz7398,Machayenge 4 male version 💀,1228,38,0.0,1.0,0.0,0.0,Neutral
@ur.razzzz7398,Bantai fans attendance here ❤,48,2,0.0,1.0,0.0,0.0,Neutral
@Abhi-07-h1h,5:47 i thought it was real dolly chai wala 😂,254,4,0.0,1.0,0.0,0.0,Neutral
@StellarGaming07,Purav Jha + Carry = Tabahi 🔥🔥🔥,34,0,0.0,1.0,0.0,0.0,Neutral
@DeepjyotiBarman-nl6ym,5:53  bro that angle 😮 perfect dolly lagra tha,57,3,0.0,0.654,0.346,0.5719,Positive
@EBCOMPANY_09,Bantai Ko Lageli Bhookh 💀💀,363,6,0.0,1.0,0.0,0.0,Neutral
