Author,Comment,LikeCount,ReplyCount,neg,neu,pos,compound,Label
@Blackbeatz888,"Follow- https://instagram.com/rich.yyoo?igshid=OGQ5ZDc2ODk2ZA==
👉🏻👈🏻",97,9,0.0,1.0,0.0,0.0,Neutral
@musaalisehgal5058,Beat hits harder than my dad's belt 💪,5921,286,0.0,1.0,0.0,0.0,Neutral
@ankitmandal8333,Dont lie you’re imagining something epic aren’t you?😜😝🙂,5901,388,0.0,1.0,0.0,0.0,Neutral
@carlarobyn5295,"The song 🗿
The vibe🗿
The singer 🗿
The instrumental 🗿
The viewers 🗿
The song listener 🗿
The saver of the song🗿
The one who added this song in his playlist 🗿
The one who got motivated and went to gym after listening this masterpiece 🗿
The whole gym 🗿
All the gym equipments including the mats🗿
The gym shoes 🗿
The one who play this at gym🗿
All who listens it 🗿
All who get more excited to do more reps 🗿
The nerves of the body 🗿
The blood streaming at speed of light after hearing this
🗿
The comments🗿
The thoughts while writing this 🗿
My hands while typing this 🗿
The keyboard 🗿
The alphabets 🗿
YouTube 🗿
Thumbnail 🗿
Subtitle 🗿
This comment 🗿
Those who likes this comment 🗿
Those who comment in this 🗿
Those who start a convo in this comment 🗿
Those who comment '🗿' 🗿",266,27,0.012,0.877,0.111,0.9338,Positive
@AkshayAhuja-615,This Beat Is On End Level 🔥,84,0,0.0,1.0,0.0,0.0,Neutral
@advaitvyas7837,This tone is the badass of all time 🔥🔥,1505,5,0.167,0.833,0.0,-0.1531,Neutral
@Roastermalang,Fact : everyone gave a savage look when beat drops 😎,158,11,0.3,0.7,0.0,-0.4588,Negative
@sohamtrivedi8501,0:10 The part you came for 💖,1120,34,0.0,1.0,0.0,0.0,Neutral
@hampterbruh,The beat is so powerful that it slapped me into backrooms,810,10,0.0,0.734,0.266,0.5598,Positive
@rajtiwari390,This beat gives you a power to think that you are best,86,0,0.0,0.704,0.296,0.6369,Positive
@stbass5392,Thank you I was looking for this remix❤️❤️,170,7,0.0,0.706,0.294,0.3612,Positive
@shernisquared3780,Playing this and driving no matter what car makes you feel like a badasss,33,0,0.133,0.542,0.325,0.296,Positive
@sarvangjain9532,0:18 best beat i ever listened in my life,150,5,0.0,0.625,0.375,0.6369,Positive
@deadloxred4765,I need 1 hour version 🥺🥂,616,24,0.0,1.0,0.0,0.0,Neutral
@ayoublostsea4197,Beat hits harder than a midnight joint 🤛🏾,25,0,0.0,1.0,0.0,0.0,Neutral
@gamingfeverrrrrrrr2743,"Only Two Words, “Extraordinary” , “Masterpiece”",13,0,0.0,1.0,0.0,0.0,Neutral
@kusumsaini9207,"Finally, I found this masterpiece here😌😌",29,0,0.0,0.451,0.549,0.7073,Positive
