Author,Comment,LikeCount,ReplyCount,neg,neu,pos,compound,Label
@JackAJ,"Kya faid?  last me ussne -"" Thank you for  entertaining us"" bol diya 😂",12355,56,0.0,0.671,0.329,0.6597,Positive
@GamingWithDevil_official,"Impressing ❌
Embarassing ✅",1185,6,0.0,0.222,0.778,0.5423,Positive
@gwhawk01,"Le airhostess - ""HASTE CHEHRE KA MATLAB NAHI HAI KI DARD NAHI HOTA""😂😂",1198,2,0.0,1.0,0.0,0.0,Neutral
@roshanhayyat8469,Impressing❌flirting ✅,205,3,0.0,1.0,0.0,0.0,Neutral
@himanshuwinsome,Ye Plane Bus jaisa feel kyon de raha hai.😂😂😂😂😂😂,6765,62,0.0,1.0,0.0,0.0,Neutral
@Electrician_ShubhamG,Mujhe ni lgta ... flight se niche fekte hue shivam ko parachute mila hoga😂😂😂,2846,8,0.0,1.0,0.0,0.0,Neutral
@kunaldharamshi9461,lol she was literally blushing 😂😂,37,1,0.0,0.641,0.359,0.4215,Positive
@duniyakagamerz5740,Plane me bhi log bus ki tarah khade hokar jaate h kya!!? 😂😂😂,64,4,0.0,1.0,0.0,0.0,Neutral
@raj.k.2151,She wrote this just because they have to treat everyone well as they were trained,2867,15,0.0,0.73,0.27,0.5859,Positive
@Arunkumar-mt3eh,Maar khane ka scene nhi daala ?,2162,20,0.0,1.0,0.0,0.0,Neutral
@basoreteete8897,Legend always focus on goal😂,166,15,0.0,1.0,0.0,0.0,Neutral
@madhav279,In the starting of video my focus was on something else 😂😂😂😂😂❤,8,0,0.0,1.0,0.0,0.0,Neutral
@abmastergaming,Economy se business class lene ki ninja technique😂😂,981,2,0.0,1.0,0.0,0.0,Neutral
@shadowhunter5358,"The way he flirted she literally understood ""iska ye roz ka kaam hai""😂",93,0,0.091,0.909,0.0,-0.0516,Neutral
@RudrakshV,Harassment case Laughing in Corner 😂,1,0,0.361,0.309,0.33,-0.0772,Neutral
@coachajay15,Flight me bhe khade hoke Jana pad raha h 😂😂😂😂,1,0,0.0,1.0,0.0,0.0,Neutral
@NSJ24,did someone noticed how cute she is ✨,368,20,0.0,0.667,0.333,0.4588,Positive
@zindagirocks5535,"Air hostess - ruk teri kaamna poori karti hun , ye le zahar wala paani 😂😂",271,0,0.0,1.0,0.0,0.0,Neutral
@sihya9602,Yevadra vedu bhale chestadu vdos 😂❤😂❤🎉,6,0,0.0,1.0,0.0,0.0,Neutral
@bultibanik4592,Who watched this more than 1000 time 😂😂,8,2,0.0,1.0,0.0,0.0,Neutral
@IamAbhishekGurjar,"Bhai paad sungte hue bhi flirt kar raha
Salute 😅",503,12,0.0,1.0,0.0,0.0,Neutral
@totalstatusupload,Last scene thanks for entertaining us she thought he was a joker 😂.,83,0,0.0,0.552,0.448,0.743,Positive
@rohansapate3890,"Impressing ❌
Entertaining ✅",1,0,0.0,0.0,1.0,0.7506,Positive
@bishonijmbho5838,"such main aap bahut funny ho bhaiya
jha bhi jate ho छा jate ho bhaiya
kyoki you are the best youtuber in the world 🌎❤🙂",3,0,0.0,0.764,0.236,0.7964,Positive
@gamingwithpryansh6236,"Omegle:2009 
People before 2009 💀",49,0,0.0,1.0,0.0,0.0,Neutral
@titutitukumar9758,Tamkeen ji ko kis kis ne notice kiya jo ki Goldy bhai ji ke saath videos bnate the 😍😍💗💗,37,3,0.0,1.0,0.0,0.0,Neutral
@Waaaht,Ayeeee hayeeee ❤😂 she's blushing,1,0,0.0,1.0,0.0,0.0,Neutral
@RamLal-ru8yw,Ye airhostess sauth ki kajol actor jesi dikhati hai 😊😊😊😂😂😅❤❤❤❤❤❤❤❤❤❤❤❤❤,1,0,0.0,1.0,0.0,0.0,Neutral
@Midgamer09,Extra Smile for good hand writing 😂😂😂😂,17,0,0.0,0.317,0.683,0.8225,Positive
@amanatbatwalevestige1487,One of the most touching video...she was awesome,5,0,0.0,0.631,0.369,0.6249,Positive
@HarshSoni-mf8ui,"Expectations: Become her boyfriend ❌
Reality : entertainment ka bakra✅
😂😂",1,0,0.0,0.741,0.259,0.4215,Positive
@anjeeldogra654,Bhai ye plan hai ki hamari local bus sab khade hain 😂😂,1,0,0.0,1.0,0.0,0.0,Neutral
@PG_buddy,Khatarnak  Bhai maje bandeye😂😂😂😂❤❤❤,16,1,0.0,1.0,0.0,0.0,Neutral
@aaryamansingh3473,He say single to us  in thousand ways....🙂🙂,15,0,0.0,0.692,0.308,0.5994,Positive
@aaryamansingh3473,Air hostess like :- Umm humm naughty hora ha naughty hora .... 💀💀,28,0,0.0,0.692,0.308,0.5994,Positive
@thecaferacer195,You made her day buddy ❤😂,0,0,0.0,1.0,0.0,0.0,Neutral
