Author,Comment,LikeCount,ReplyCount,neg,neu,pos,compound,Label
@_divya_makes_music,Jing being happy about the viper nerfs is spoken like a true duelist player hahahha,337,1,0.0,0.55,0.45,0.8402,Positive
@prathmeshgupta9671,Need a boaster and jing duo stream in Shanghai,215,0,0.0,1.0,0.0,0.0,Neutral
@victorofficialchannelshinn5383,I like how jj put Alecks picture at the top WWWW,128,1,0.0,0.526,0.474,0.6486,Positive
@rekkavoidz3781,"That thumbnail is Jingg nightmare😂
Nice cooking editor",57,0,0.0,0.714,0.286,0.4215,Positive
@whogameslaw,4:17 Jason's Menacing laughter 😂😂😂,18,0,0.0,0.556,0.444,0.4939,Positive
@lordvader-jn3gz,""" u think I'll smile when u play clove"" has me dead😂",22,1,0.0,0.588,0.412,0.5994,Positive
@KnifeForDale,12:12 david schooling his children,48,3,0.0,1.0,0.0,0.0,Neutral
@user-kx3zq4if8t,LMAOOO I love these guys being super close to each other  actually the group made up of best friends,4,0,0.0,0.506,0.494,0.8316,Positive
@user-kx3zq4if8t,I love ur map hider being Alecks.. hes like the god of prx,0,0,0.0,0.506,0.494,0.8316,Positive
@adityaanand6910,"I just love each of them, brothers ❤️❤️❤️",8,0,0.0,0.588,0.412,0.6369,Positive
@dustinfandy8438,video so good i want to kiss the editor,10,0,0.0,0.398,0.602,0.763,Positive
@xniowy,anyone watching jj stream rn? Hahahhahah,19,1,0.0,0.714,0.286,0.25,Positive
@thewock8006,1:08 the hmmm make me suffering i like girl or jj,5,0,0.212,0.479,0.308,0.1027,Positive
@nevil6833,editor got solid taste in background music,3,0,0.0,0.789,0.211,0.1531,Positive
@1nterzept661,Alecks covering the map caught me off guard😂,1,0,0.0,1.0,0.0,0.0,Neutral
@fuyunghay4214,Editor is goated fr,1,0,0.0,0.667,0.333,0.3612,Positive
@fuyunghay4214,Alecks smile buff is real bois,1,0,0.0,0.667,0.333,0.3612,Positive
@coorloo9416,“Comsat” (from Star Craft) used to be a term for stream sniping irl. 😂,0,0,0.0,1.0,0.0,0.0,Neutral
@misslen575,"We know jj, forsaken is a menace, even during international tournaments",1,0,0.242,0.606,0.152,-0.296,Negative
@nanami_nakano,HAHA the stream snip but irl,0,0,0.0,0.679,0.321,0.3327,Positive
@rthwbyw,Alecks as map blocker is wild,1,0,0.0,1.0,0.0,0.0,Neutral
@Kaslana_Yumma_423,off topic but i really like the K-on gifs,0,0,0.0,0.655,0.345,0.5704,Positive
@coffeelover9165,why this is so cute 😻😻,0,0,0.0,0.564,0.436,0.5949,Positive
@Bartholomew28,"Kinda irrelevant question but why does Jing's game sound different slightly, and how is it done? (might just be the video idk)",1,0,0.0,1.0,0.0,0.0,Neutral
@johnrobinfactor,"Jason is peeking on your screen we call it ""Comshat""🇵🇭",0,0,0.0,1.0,0.0,0.0,Neutral
@lapischicken,this game was fun to watch live lol,0,0,0.0,0.496,0.504,0.7269,Positive
@user-tg4dg7tt7c,how to do the sound settings like this?(davici user),0,0,0.0,0.762,0.238,0.3612,Positive
@codexe.,crazy raze player,0,0,0.545,0.455,0.0,-0.34,Negative
@inirazif,"does the sound pitched up a lil bit?,  why?",0,0,0.0,1.0,0.0,0.0,Neutral
@user-vt9dj3my5p,funny video😂,0,0,0.0,1.0,0.0,0.0,Neutral
@user-vt9dj3my5p,lmao😂,0,0,0.0,1.0,0.0,0.0,Neutral
@whereami.,jj voice is cute,2,0,0.0,0.286,0.714,0.6124,Positive
@sullenkitten8875,11:38 is my favorite,0,0,0.0,0.5,0.5,0.4588,Positive
@bazinga4661,4:15 Jason laughing gonna haunt JJ,1,0,0.232,0.258,0.51,0.4995,Positive
@hrisheekeshprabhakar5555,Jing playing clove in Shanghai?,0,0,0.0,0.69,0.31,0.2023,Positive
@arnav7518,jj u so cool xdd!!,0,0,0.0,0.279,0.721,0.6342,Positive
@CeqMat,jj sova team so funny,0,0,0.0,0.343,0.657,0.6948,Positive
@ash-rc2xv,JINGG AND FORSAKEN (⌐■_■)ヾ(⌐■_■)ノ♪,1,0,0.0,1.0,0.0,0.0,Neutral
@swizzyka7335,"こんいちは！
Jinggg on in top
Илья ты топ wtfffffffff hahahaha",0,0,0.0,0.833,0.167,0.2023,Positive
@nisaanajwa,funny yah,0,0,0.0,0.256,0.744,0.4404,Positive
@omprakash990.,bro litrelly said jason 5000000 times,0,0,0.0,1.0,0.0,0.0,Neutral
@Smart_Motivation8,wkwkwkw,0,0,0.0,1.0,0.0,0.0,Neutral
@thacasualpoolplaya,"hello. lao jiao here. ""stream sniping in real life"" is actually called ""ghosting"" back in our lan shop days. :)",0,0,0.0,0.864,0.136,0.4588,Positive
@pfl_knight7708,"question, want does ''bang'' mean",1,2,0.0,0.755,0.245,0.0772,Positive
@murasaki_95,Why is the game audio pitched up 😂,0,2,0.0,1.0,0.0,0.0,Neutral
@yynair,"Indonesian people usually call it ""Spionan""😂",0,0,0.0,1.0,0.0,0.0,Neutral
@michaelpettey6572,Bang,0,0,0.0,1.0,0.0,0.0,Neutral
@ahmadrafly5829,Jangan toxic bang 😂,0,0,0.0,1.0,0.0,0.0,Neutral
@kunal4697,Jason cheating bang ahhhh,2,0,0.545,0.455,0.0,-0.5574,Negative
@th1rd,3:25 Where is everyone destroyed?,4,0,0.444,0.556,0.0,-0.4939,Negative
@dizzlefx5526,"HARDER GUYS
IF U WANNA GO SHANGHAI
PUSH HARDER",0,0,0.0,1.0,0.0,0.0,Neutral
@user-rs8sr7wi2x,what dose the bang mean in every sentences end🤔,0,1,0.0,0.87,0.13,0.0516,Positive
@somerandomguy680,What does bang mean? Bro?,1,1,0.0,1.0,0.0,0.0,Neutral
@endy_boi2581,4:58 did anyone know that?!!!,0,1,0.0,1.0,0.0,0.0,Neutral
@matingood5723,"Can somebody tell me what they mean when they call each other ""bang"".",0,3,0.0,1.0,0.0,0.0,Neutral
@mislyb,wkwkwkwkwkwk,0,0,0.0,1.0,0.0,0.0,Neutral
@zaynxdeepak,What is Bang mean they saying???,0,1,0.0,1.0,0.0,0.0,Neutral
@kemy7762,jason stream snipe no delay still lose,0,0,0.643,0.357,0.0,-0.7351,Negative
@dhanrajsanga9232,Bang meaning,0,2,0.0,1.0,0.0,0.0,Neutral
@ahmadpochinki1244,this is why jj say jason is dumb,0,0,0.292,0.531,0.177,-0.3182,Negative
@am_angel_bear,Why do they end their sentences with bang? Please help!! Lol,0,1,0.0,0.422,0.578,0.8217,Positive
@PommetasoO,What is bang,0,1,0.0,1.0,0.0,0.0,Neutral
@garryfreind153,what is bang. why they call each other that,0,1,0.0,1.0,0.0,0.0,Neutral
@zGrizz,What does bang means 🗿,2,2,0.0,1.0,0.0,0.0,Neutral
@farhan8177,2:24 mas jason mas jason,0,0,0.0,1.0,0.0,0.0,Neutral
@kei-kb8du,what does bang mean,0,1,0.0,1.0,0.0,0.0,Neutral
@Ravennn23,first,0,0,0.0,1.0,0.0,0.0,Neutral
