Author,Comment,LikeCount,ReplyCount,neg,neu,pos,compound,Label
@shreyanshusingh1756,Now that's called a VLOG...❤,4139,28,0.0,1.0,0.0,0.0,Neutral
@Saummya,THESE TYPE OF VLOGS IS WHAT TODAYS GENERATION NEEDS,4800,156,0.0,1.0,0.0,0.0,Neutral
@vasukhurana-pb9ki,Ramayana is definately true and also makes sense with some proofs also. Jai Shree Ram,91,1,0.0,0.833,0.167,0.4215,Positive
@aman_bhargava,Dhruv Rathi need this type of language,173,13,0.0,1.0,0.0,0.0,Neutral
@varadrajpatil6160,"We want a special series on historical places...
Please brother...🧡",2231,28,0.0,0.488,0.512,0.6486,Positive
@krishnathkapase6141,"You are not only respecting the Prabhu Shri Ramji and Laxman Ji but also Ravan is absolutely appreciable ❤ 
Thank You Brother",2118,69,0.074,0.776,0.15,0.4317,Positive
@VinayKumar-yo1zf,He was trying to prove that palace was burnt 🔥🔥,98,2,0.0,1.0,0.0,0.0,Neutral
@doulatnishad2600,History is always old. Best openion for you. Thankyou for creating video have a nice journey ❤❤❤❤❤,14,0,0.0,0.586,0.414,0.8481,Positive
@Guru_1301,I have only one thing to say😝....This is way better than Adhipurush..🤣😂,380,7,0.0,0.775,0.225,0.4404,Positive
@DaredevilOG,Definitely need series on exploring Bharat's Heritage. You explained everything so beautifully that it felt like we were with you  ❤,550,7,0.0,0.631,0.369,0.8733,Positive
@rvind000,"The original place of Jatayu's fall is near Nāsik in a remote place called Sarv Tirth Jatayu Mandir, Taked Budruk. Godavari River is not far from there where he was cremated by Shri Rām & Lakṣmaṇa.",14,0,0.0,1.0,0.0,0.0,Neutral
@rvind000,"With 2 ponds at the front it resembles the region of Kailash, Mansarovar & Rakshastal.",6,0,0.0,1.0,0.0,0.0,Neutral
@D.whimsicalwrld,28:10 timestamp...ravan did not go to ram for his sister or anything. shurpanaka knew the only way to make him act on it was to tell him abot how beautiful sita was. ravan initially wasnt intrested in what happended with his sister and why. it was because of shurpanakas description of sita that he did so. also he did no touch sita not because he was considerate of her.  he had which says that his head would explode if he touches a woman without her consent. that curse was given by ravans own brothers son when ravan raped his brothers sons soon gonna be wife...so tecnically he raped his own soon to be daughter in law.,9,0,0.126,0.822,0.052,-0.8679,Negative
@girlygirl947,Ravan's actual name was 'dashagreeva' but when he met shiv ji at the himalaya....he gave him the name Ravan which means to roar according to ravana's personality🔥🔥🔥🙏🙏 and  blessed him that he will never look back now onwards😊😊,157,1,0.0,0.874,0.126,0.7469,Positive
@agitatorgaming4138,Ramayana is not a myth! It happend and we're damn proud of it. We Sanatani have a very rich history and Heritage. 💙,197,14,0.1,0.63,0.27,0.6793,Positive
@piyushkr22,WE NEED THESE TYPE OF VIDEOS❤,13,0,0.0,1.0,0.0,0.0,Neutral
@themusafirdiaries24,"Would love to see more vlogs like this, really an educational and interesting one",3,0,0.0,0.532,0.468,0.8651,Positive
@Thevitigirll,This generation needs this type of vlogs ❤ keep going 😌,219,1,0.0,1.0,0.0,0.0,Neutral
@black_soul3445,"These vlogs are what YouTube needs not all those ""hello guys khana kha liya hai abb hugne jaunga""😂😂",376,7,0.0,1.0,0.0,0.0,Neutral
@user-xb6ic2ed8m,Ye hota hai ek Blog jisko dekh ke hame khuch shikhne ko milta hai . I love this volg,2,0,0.0,0.792,0.208,0.6369,Positive
@anshpandey6689,"The way he expressed RAVAN JI, he showed his whole upbringing❤",277,18,0.0,1.0,0.0,0.0,Neutral
@ayushbansal9701,"Really liked the way you explained everything...usually people go to historic places for photography, reels...very few tell us the value and story of that place. This is the way it should be. Its very interesting",168,0,0.0,0.79,0.21,0.8169,Positive
@shashipurandare2882,Wonderful information about Srilankan history that is related Sriram.  Actually I had read in detail about the same in Dr. Anita Gupte's novel titled Mandodari- the Untold Story.  The book is so informative that I could easily relate with this video. Those who have watched this video should read the novel. You would actually enjoy it.,7,0,0.0,0.779,0.221,0.9169,Positive
@akshita_mahendi_world64,Please make this type of vlog  this vlog is to intresting and knowledgeable this is what today's generation actually need and this vlog is amazing. From your video we gain something as amazing knowledge thanks for it,1,0,0.0,0.664,0.336,0.9451,Positive
@RavindraMishra-fh2lj,"loved the fact that everytime you mentioned RAVAN's name you added a ""ji"" or ""raja"" after his name...and what a vlog🧡",372,12,0.0,0.822,0.178,0.5994,Positive
@sakkkk1234,"saare proof dikh rhe the ki Lanka ko jalaya gya tha ...I enjoyed every sec of this video...want more such type videos 
YOU ARE AMAZING MAN AS ALWAYS
keep growing ❤",31,0,0.0,0.739,0.261,0.8602,Positive
@sandysinha7747,You have presented in a beautiful way..,1,0,0.0,0.562,0.438,0.5994,Positive
@mohitteja4874,THis video literally added Sigiriya Fort to my bucket list! I knew about it and its history but Shol's explanation killed it,1,0,0.246,0.754,0.0,-0.8197,Negative
@urnavpal3667,"10:32 a geography major here to explain, the whole structure might have been formed by a volcanic eruption which i suppose is a very good explanation  as to why such a massive structure of rock exists in the middle of nowhere but the black soot( or the black dust) on the surface of the rock is due to dried up moss, this type of petal formation of dead algae or moss can be very commonly observed in sub-tropical region where heavy rainfall and scorching heat is observed. The rain(which as said by you is very heavy in Sri Lanka) leads to algae formation at a heavy rate and then in the dry season Sri Lanka also receives a lot of heat which causes these algae to dry up and form this dust and petal-y structure which is not volcanic ash. The volcanic ash isn't released after the explosion which happened thousands of years ago

but the video overall is really interesting and i learned a lot this video, great content Shlok bhaiya :)",34,7,0.033,0.88,0.087,0.8685,Positive
@priyamdesai83,Jai Mata di ❤🙏🚩🕉️✨,131,0,0.0,1.0,0.0,0.0,Neutral
@priyamdesai83,Jai shree Rama ji ❤🙏🙏🚩,7,0,0.0,1.0,0.0,0.0,Neutral
@arati-deb,"It's a great video, extremely informative, thank you!",0,0,0.0,0.411,0.589,0.8004,Positive
@user-ve6gq8bh1t,Kon kon MR INDIAN HACKER ka video dekh ke yah video dekh rha h attendance 😂😂😅😅😊😊,5,1,0.0,1.0,0.0,0.0,Neutral
@Progressing_aspirant,"सनातन ही सत्य है 🕉️📿
Superb video👌🏻",37,1,0.0,0.594,0.406,0.6249,Positive
@taysez1151,Let’s keep everything aside the way he is addressing RAVAN JI man he is well aware of our history ❤,81,0,0.0,0.896,0.104,0.2732,Positive
@21Subham,Keep making these types of vlogs … Good job dude 🤘🏻,0,0,0.0,0.756,0.244,0.4404,Positive
@KanhaiyaKumar-ub5en,"Really enjoy it brother,, love you keep it up more video like this...",0,0,0.0,0.488,0.512,0.8878,Positive
@footballfinallivegoals,"According to the ancient Sri Lankan chronicle the Cūḷavaṃsa, this area was a large forest, then after storms and landslides it became a hill and was selected by King Kashyapa (AD 477–495) for his new capital. He built his palace on top of this rock and decorated its sides with colourful frescoes. On a small plateau about halfway up the side of this rock he built a gateway in the form of an enormous lion. The name of this place is derived from this structure; Sīnhāgiri, the Lion Rock (an etymology similar to Sinhapura, the Sanskrit name of Singapore, the Lion City).",181,25,0.138,0.778,0.084,-0.4019,Negative
@footballfinallivegoals,The capital and the royal palace were abandoned after the king&#39;s death. It was used as a Buddhist monastery until the 14th century.[3] Sigiriya today is a UNESCO listed World Heritage Site. It is one of the best preserved examples of ancient urban planning.[4],4,0,0.138,0.778,0.084,-0.4019,Negative
@samratkhune,29:15 cheack left side thir is scull,16,0,0.0,1.0,0.0,0.0,Neutral
@artistKajal11,Amazing! I can feel the energy here 🌟,1,0,0.0,0.392,0.608,0.7345,Positive
@kanishqgandhi6004,This vlog was absolutely amazing and everything was so beautifully explained by you,0,0,0.0,0.555,0.445,0.87,Positive
@bivashadhikary007,"The strange thing is we all read in schools about the great structure of the world like sphinx but not about our own greatest structure like this... pure bhare pare hain akhanda Bharatvarsh me...

Love and respect ❤️",21,1,0.025,0.557,0.418,0.9747,Positive
@mukeshmalla-ij1di,"I dont know why people watch saurav josi vlogs , watch that videos in which we see & learn any new thing. Love you tech burner bhai😊",29,0,0.0,0.846,0.154,0.6369,Positive
@anshsinhavlogs6822,Please make more videos like this 🙏🏻,2,0,0.0,0.496,0.504,0.6222,Positive
@KhiladiGamer93,we want more vlogs like this.....,1,0,0.0,0.495,0.505,0.4728,Positive
@RAJENDRA_SANATANI,11:00 Hanuman ji ne jalaye the pathar ❤,8,0,0.0,1.0,0.0,0.0,Neutral
@kalyankarrahul500,I enjoyed the quality of video...the detailing of the structures😍.... Just loved it❤️,73,0,0.0,0.581,0.419,0.802,Positive
@kuldeepaurya9178,I think you should go to Hampi.. you will find similar structure and stones,1,0,0.0,1.0,0.0,0.0,Neutral
